DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.584482	58	4	1	7	6	1	1	0	1373	4	0	4.5237 	0	0
DL	0.584625	58	4	2	1	6	1	1	0	1373	4	0	4.45738	0	0
UL	0.584732	58	4	2	7	6	1	1	0	1373	4	0	4.4832 	0	0
DL	0.584875	58	4	3	1	6	1	1	0	1373	4	0	4.54597	0	0
UL	0.584982	58	4	3	7	6	1	1	0	1373	4	0	4.73552 	0	0
DL	0.585125	58	5	0	1	6	1	1	0	1373	4	0	4.62278	0	0
UL	0.585232	58	5	0	7	6	1	1	0	1373	4	0	4.43711 	0	0
DL	0.585375	58	5	1	1	6	1	1	0	1373	4	0	4.61884	0	0
UL	0.585482	58	5	1	7	6	1	1	0	1373	4	0	4.62335 	0	0
DL	0.585625	58	5	2	1	6	1	1	0	1373	4	0	4.4209	0	0
UL	0.585732	58	5	2	7	6	1	1	0	1373	4	0	4.40173 	0	0
DL	0.585875	58	5	3	1	6	1	1	0	1373	4	0	4.33441	0	0
UL	0.585982	58	5	3	7	6	1	1	0	1373	4	0	4.28508 	0	0
DL	0.586125	58	6	0	1	6	1	1	0	1373	4	0	3.9409	0	0.0315472
UL	0.586232	58	6	0	7	6	1	1	0	1373	4	0	4.09684 	0	0.0315472
DL	0.586375	58	6	1	1	6	1	1	0	1373	4	0	4.18467	0	0
UL	0.586482	58	6	1	7	6	1	1	0	1373	4	0	4.09694 	0	0.0315472
DL	0.586625	58	6	2	1	6	1	1	0	1373	4	0	4.00834	0	0.0315472
UL	0.586732	58	6	2	7	6	1	1	0	1373	4	0	3.99386 	0	0.0315472
DL	0.586875	58	6	3	1	6	1	1	0	868	2	0	4.03831	0	0
UL	0.586982	58	6	3	7	6	1	1	0	1373	4	0	3.89275 	0	0.0315472
DL	0.587125	58	7	0	1	6	1	1	0	1373	4	0	3.74564	0	0.0315472
UL	0.587232	58	7	0	7	6	1	1	0	1373	4	0	3.99689 	1	0.0315472
DL	0.587375	58	7	1	1	6	1	1	0	1373	4	0	4.06107	0	0.0315472
UL	0.587482	58	7	1	7	6	1	1	0	1373	4	0	4.09602 	0	0.0315472
DL	0.587625	58	7	2	1	6	1	1	0	1373	4	0	3.98913	0	0.0315472
UL	0.587732	58	7	2	7	6	1	1	0	1140	3	0	3.88732 	0	0
DL	0.587839	58	7	3	1	4	1	1	0	578	2	0	3.86338	0	0
UL	0.587946	58	7	3	5	6	1	1	0	1373	4	1	3.8367 	0	0
DL	0.588125	58	8	0	1	6	1	1	0	1373	4	0	3.69015	0	0.250467
UL	0.588232	58	8	0	7	6	1	1	0	1373	4	0	3.716 	0	0.250467
DL	0.588375	58	8	1	1	6	1	1	0	1373	4	0	3.58476	0	0.250467
UL	0.588482	58	8	1	7	6	1	1	0	1140	3	0	3.63831 	0	0
DL	0.588625	58	8	2	1	6	1	1	0	868	2	0	3.52439	0	0
UL	0.588732	58	8	2	7	6	1	1	0	1140	3	0	3.58454 	0	0
DL	0.588875	58	8	3	1	6	1	1	0	868	2	0	3.58156	0	0
UL	0.588982	58	8	3	7	6	1	1	0	1140	3	0	3.66437 	0	0
DL	0.589125	58	9	0	1	6	1	1	0	868	2	0	3.64931	0	0
UL	0.589232	58	9	0	7	6	1	1	0	1140	3	0	3.89033 	0	0
DL	0.589375	58	9	1	1	6	1	1	0	868	2	0	4.02129	0	0
UL	0.589482	58	9	1	7	6	1	1	0	1140	3	0	4.00859 	0	0
DL	0.589625	58	9	2	1	6	1	1	0	868	2	0	3.94221	0	0
UL	0.589732	58	9	2	7	6	1	1	0	1140	3	0	3.90573 	0	0
DL	0.589875	58	9	3	1	6	1	1	0	868	2	0	3.75284	0	0
UL	0.589982	58	9	3	7	6	1	1	0	1140	3	0	3.87516 	0	0
DL	0.590125	59	0	0	1	6	1	1	0	1373	4	0	3.89168	0	0.0315472
UL	0.590232	59	0	0	7	6	1	1	0	1373	4	0	3.89274 	0	0.0315472
DL	0.590375	59	0	1	1	6	1	1	0	1373	4	0	3.91175	0	0.0315472
UL	0.590482	59	0	1	7	6	1	1	0	1373	4	0	3.90807 	0	0.0315472
DL	0.590625	59	0	2	1	6	1	1	0	868	2	0	4.15198	0	0
UL	0.590732	59	0	2	7	6	1	1	0	1373	4	0	4.05158 	0	0.0315472
